,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
1400,1,2,27,2864.1785,5,1,1464041,0.10304561142754882,0.23524955926780738,0.5505112220217876,0.017679149695944307,0.0,0.09351377454593143
1402,1,2,20,979.0175,6,1,1865907,0.07556646713903747,0.16193197195787357,0.6947795361719529,0.030682129388013443,0.0,0.03704043127551373
1403,1,2,21,727.5615,6,2,1105590,0.0,0.3246592317224288,0.5835164934559828,0.02098427084181297,0.0,0.07084000397977551
1406,1,2,21,1993.8996,6,1,1643134,0.048854810380650635,0.17476663497925307,0.5388440626266634,0.04810989243725709,0.022822240912792262,0.16660296725647453
1407,0,1,28,1530.2782,4,1,1207503,0.03641150373953522,0.32669069973325116,0.5686660819890302,0.015334123393482252,0.0,0.05289759114470109
1612,1,1,29,2983.2524,6,1,2234056,0.033828158291466286,0.156252573794032,0.7439527030656349,0.018124433765312954,0.017531789713418105,0.030310341370135753
1678,1,2,25,1256.7135,6,1,2611473,0.16180523405756062,0.13281201835132891,0.4858874665753772,0.011522232854791146,0.0,0.20797343108659366
1679,1,2,23,936.996,6,1,1683574,0.21588893627485337,0.28051633014052246,0.35195482942834705,0.02898179705792558,0.0,0.12265810709835148
1680,1,2,28,2859.7497,6,1,1785436,0.10286955119085758,0.24994287109703175,0.4544100152567776,0.11319756070786072,0.0020499194594485607,0.07753064237530777
1682,1,2,23,2817.2497,7,2,2827675,0.08933417029892049,0.13119117296011742,0.2537430928236095,0.041377456744498574,0.4023432678790879,0.08201119294119727
1683,0,2,22,1804.2759,6,2,1407194,0.030300015491822735,0.2938223158995846,0.4616875853649177,0.05918373728142672,0.08468270899392692,0.07032434760239172
1684,0,2,23,1012.9738,6,2,1382912,0.11119651865049981,0.18569872848019253,0.4657006374953721,0.00622237712884117,0.0,0.23118246135690484
1685,0,2,21,2817.2497,6,2,1860907,0.040329258796919995,0.22927207001746996,0.48970098989363786,0.11987702770745663,0.022122008246516348,0.09869864533799916
1686,1,2,21,877.2153,6,2,1016847,0.0145547953625275,0.26613148290745803,0.5822301683537444,0.025435488328135896,0.0,0.11164904848025317
1687,1,2,23,1012.9738,7,2,1491372,0.19140831395520366,0.1659223855617512,0.45840139147040443,0.019031469009744048,0.06369973420447748,0.10153804684545506
1688,0,2,24,2382.4203,6,1,1123899,0.011974385598705934,0.25810148420810053,0.5439777061817832,0.14361877713210885,0.005338558002098054,0.03698819911753636
1689,1,2,20,1505.205,6,2,1124498,0.03642425331125533,0.24938239107584007,0.5372041568771132,0.02207562841374551,0.0,0.15491445960775385
1690,1,2,25,1369.4465,6,1,1506834,0.09076447704259394,0.21365989883424452,0.4481289909837447,0.21168556058597032,0.0,0.03575974526722917
1698,1,1,29,2473.315,6,3,1073067,0.0765450805960858,0.2811501984498638,0.5565933907202439,0.03840207554607494,0.0,0.04730925468773152
1699,0,1,25,2936.9364,7,2,1634886,0.050186985514586335,0.28366565008202405,0.26089892506266493,0.020506016933290763,0.2854431440479642,0.09929989002291291
