,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
55,1,2,25,4277.9977,6,1,1552375,0.1284225783074321,0.2268408084386826,0.3439503985828167,0.0733708028021579,0.0163858603752315,0.211029551493679
56,1,2,28,3576.2675,6,1,1575564,0.07545742350041,0.4352060595443917,0.2003434960433216,0.1437313876173865,0.0,0.1452609986011358
57,1,1,26,2141.1468,4,1,1293227,0.0,0.383978992087236,0.4872949605908321,0.0236253960054963,0.0,0.1051006513164355
58,1,1,29,4370.7811,6,1,1352136,0.0227617636095777,0.4456090215777111,0.3153469769313146,0.0664260104013205,0.0070133477697509,0.142842879710325
59,1,2,26,4238.2221,6,1,1375188,0.0396309450053374,0.2310484093811173,0.6959426638394168,0.0044481190935348,0.0,0.0289305898538963
60,0,1,21,3449.2072,6,2,1223512,0.0096443680160063,0.1698536671483402,0.7370405848083222,0.0345726073794127,0.0408659661695185,0.0080228064783998
61,1,2,29,2251.035,5,1,1329120,0.0310483628265318,0.1793088660166125,0.5405689478752859,0.1050800529673769,0.0,0.1439945226917058
62,1,2,26,3554.5334,4,1,1003932,0.0209177514014893,0.4058810756106987,0.3530717219891387,0.0665383711247375,0.0,0.1535920759573357
63,0,1,23,3627.0384,6,2,858160,0.0639041670550946,0.2707700195767689,0.3919269133961033,0.1112846089307355,0.0337699263540598,0.1283443646872378
64,1,2,20,4354.1294,6,2,1131944,0.0853991010155979,0.2208793014495416,0.4953822803954966,0.0790021414486935,0.0721475620702084,0.0471904970563914
65,0,2,27,3639.9112,7,2,1743897,0.0329159348287198,0.2287726855427815,0.4914590712639565,0.0744000362406724,0.0,0.1724528455522316
66,1,1,23,4150.209,6,2,1287979,0.1398058508717921,0.2761690990303413,0.3907905330754616,0.0792536213711559,0.0,0.1139816720614233
67,1,2,25,4162.0657,6,4,1347963,0.0525363084891795,0.2247413319208316,0.4900965382580975,0.0278694593249221,0.0370930062620413,0.1676640976050529
68,1,1,25,727.5615,4,1,3647380,0.0704615367743421,0.1727239826944272,0.650699954487879,0.0940510722765382,0.0,0.0120634537668134
69,1,2,26,2780.59,6,1,2159947,0.1151236581267966,0.3361536185841597,0.3104293762763623,0.1039391244322198,0.010517387695161,0.1238372978596234
70,0,2,28,2904.5912,6,1,1512862,0.0861017065667589,0.3037745676737204,0.3842128363327257,0.109082652614713,0.0354381298492526,0.0813914289604735
71,1,2,22,1993.8996,5,1,1193330,0.0791734055123059,0.2401624026882756,0.572444336436694,0.0418367090410867,0.0,0.0663839843128053
72,1,2,27,2864.1785,5,1,1464041,0.1030456114275488,0.2352495592678073,0.5505112220217876,0.0176791496959443,0.0,0.0935137745459314
73,1,2,20,979.0175,6,1,1865907,0.0755664671390374,0.1619319719578735,0.6947795361719529,0.0306821293880134,0.0,0.0370404312755137
74,1,2,21,727.5615,6,2,1105590,0.0,0.3246592317224288,0.5835164934559828,0.0209842708418129,0.0,0.0708400039797755
75,1,2,21,1993.8996,6,1,1643134,0.0488548103806506,0.174766634979253,0.5388440626266634,0.048109892437257,0.0228222409127922,0.1666029672564745
76,0,1,28,1530.2782,4,1,1207503,0.0364115037395352,0.3266906997332511,0.5686660819890302,0.0153341233934822,0.0,0.052897591144701
77,1,1,29,2983.2524,6,1,2234056,0.0338281582914662,0.156252573794032,0.7439527030656349,0.0181244337653129,0.0175317897134181,0.0303103413701357
78,1,2,25,1256.7135,6,1,2611473,0.1618052340575606,0.1328120183513289,0.4858874665753772,0.0115222328547911,0.0,0.2079734310865936
79,1,2,28,2859.7497,6,1,1785436,0.1028695511908575,0.2499428710970317,0.4544100152567776,0.1131975607078607,0.0020499194594485,0.0775306423753077
80,0,2,22,1804.2759,6,2,1407194,0.0303000154918227,0.2938223158995846,0.4616875853649177,0.0591837372814267,0.0846827089939269,0.0703243476023917
81,0,2,23,1012.9738,6,2,1382912,0.1111965186504998,0.1856987284801925,0.4657006374953721,0.0062223771288411,0.0,0.2311824613569048
82,0,2,21,2817.2497,6,2,1860907,0.0403292587969199,0.2292720700174699,0.4897009898936378,0.1198770277074566,0.0221220082465163,0.0986986453379991
83,1,2,21,877.2153,6,2,1016847,0.0145547953625275,0.266131482907458,0.5822301683537444,0.0254354883281358,0.0,0.1116490484802531
84,1,2,23,1012.9738,7,2,1491372,0.1914083139552036,0.1659223855617512,0.4584013914704044,0.019031469009744,0.0636997342044774,0.101538046845455
85,0,2,24,2382.4203,6,1,1123899,0.0119743855987059,0.2581014842081005,0.5439777061817832,0.1436187771321088,0.005338558002098,0.0369881991175363
86,1,2,20,1505.205,6,2,1124498,0.0364242533112553,0.24938239107584,0.5372041568771132,0.0220756284137455,0.0,0.1549144596077538
87,1,2,25,1369.4465,6,1,1506834,0.0907644770425939,0.2136598988342445,0.4481289909837447,0.2116855605859703,0.0,0.0357597452672291
88,1,1,29,2473.315,6,3,1073067,0.0765450805960858,0.2811501984498638,0.5565933907202439,0.0384020755460749,0.0,0.0473092546877315
89,1,2,24,2936.9364,7,2,1611747,0.0532236138798459,0.3806410063117846,0.3605807859422105,0.0595149238683242,0.0155111193009821,0.1305279302520805
90,1,1,25,2888.8155,5,4,1745947,0.0536230481223084,0.470884855038555,0.3282012569682814,0.1058984035597873,0.0,0.0413918635559956
91,1,2,29,1342.8338,5,1,2086175,0.0808422112238906,0.3476649849605138,0.3746186202020444,0.0270768272076887,0.0,0.1697973564058624
92,1,2,23,1052.7244,4,1,1771716,0.066065893179268,0.1968063730304405,0.4469057117506417,0.1233499048380214,0.0942588992818262,0.072613217919802
93,0,2,23,3546.8983,6,2,1456476,0.0695404524345063,0.3094167016826916,0.376357042615189,0.1166740818248979,0.0462987375006522,0.0817122973533377
94,1,2,26,551.2607,6,1,711574,0.0,0.4467279580198264,0.5098331304966174,0.02798022412286,0.0028106704292174,0.0126480169314786
95,1,2,26,2517.0508,6,1,1848710,0.0462311557788944,0.249658951376906,0.2907210974138723,0.1486257985297856,0.0760936004024427,0.1886704783335407
96,1,2,28,3092.3877,6,1,1541646,0.1227778621032325,0.2394713183182131,0.3152630370396316,0.0628951134047634,0.0408524395354056,0.2187402295987535
97,1,2,28,1984.275,6,1,2417352,0.0803552813160847,0.1827991951523816,0.4593174680394084,0.2118607468006314,0.0,0.0656681360430752
98,1,1,29,2936.9364,6,1,1225797,0.0396493057170151,0.340801127756064,0.3231628075448055,0.0520306380257089,0.0013599315384194,0.2429970052137507
99,1,1,28,2715.3827,6,1,792313,0.135678702734904,0.4894959441533838,0.2848545966051295,0.0411832192580457,0.0115699224927522,0.0372176147557846
100,1,2,27,1671.7269,5,1,978884,0.1010415943053518,0.409631784767143,0.2048802513883156,0.0781951691926724,0.0164299344968351,0.1898212658496818
101,0,1,29,331.6628,6,1,2362624,0.0042325820782316,0.2956331604182468,0.6153327825333189,0.0149621776465489,0.0211629103911583,0.0486763869324953
102,1,2,29,1049.2445,4,1,4594115,0.0594332096606201,0.1398016810637087,0.5755010486241637,0.0555673943730185,0.0009795140086828,0.1687173699395857
103,1,1,21,509.2395,5,5,1452879,0.0,0.4603893373088881,0.3184504697225302,0.1520560211827688,0.0,0.0691041717858128
104,1,2,23,1130.2972,4,1,1415050,0.0439383767358043,0.3039737111762835,0.3838818416310378,0.0567471114094908,0.029857602204869,0.181602063531324
105,1,1,22,1810.1052,6,4,1049990,0.0226668825417384,0.3970037809883903,0.371045438527986,0.1571253059552948,0.0,0.0521585919865903
106,1,2,25,740.9946,6,1,1389110,0.1337907005204771,0.3364096435847413,0.3799425531455392,0.0208766764331118,0.0,0.1289804263161304
107,1,2,22,740.9946,6,5,1370175,0.0769974638276132,0.3472841060448483,0.356906964438849,0.0250770886930501,0.0,0.1937343769956392
108,0,1,27,1728.9137,4,1,896234,0.0208282658323607,0.3524827221462252,0.5190653333839154,0.0916021931772282,0.0,0.016022601240301
109,1,2,23,2438.598,5,1,1205991,0.0585145328613563,0.3690185084299965,0.3958835513697863,0.053347827637188,0.0182389420816573,0.1049974668135997
110,1,2,25,1472.1292,6,1,737825,0.0761969301663673,0.4146782773692949,0.2039982380645817,0.1722034357740656,0.0,0.1329231186256903
111,1,1,26,1792.0488,4,1,1733126,0.016759889355996,0.3702835223751764,0.3193622390985999,0.1598585446182216,0.0,0.133735804552006
112,0,1,22,1674.6102,6,2,852263,0.0444897877767778,0.2384404814006943,0.4467634990607359,0.1873646984557583,0.0648719937390218,0.0180718862604618
113,0,1,22,552.7591,5,2,586300,0.0,0.3689237591676616,0.5526181135937234,0.078458127238615,0.0,0.0
114,1,2,21,1024.5172,5,1,1074883,0.1141287005190332,0.2769724704921373,0.444201834060079,0.0113965892101745,0.0,0.1533004057185759
