가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
65.84628852,2.81877718,0.234059386,0,3.846297883,0.990071201,4.9901461,6.956244938,1.474457099,0.993020349,25.74653241,9.020648719,8.776033255
96.10328518,5.536072754,3.573262477,0.191083555,46.39876984,0.532463011,0.903304078,7.584280008,2.829495797,2.656061414,0,15.53266104,10.36597017
100,16.72934431,0,0.074468481,12.8904941,0,11.85910563,11.93357411,0,17.07562274,0,29.43739062,0
96.24760896,1.201255958,1.44781446,8.747436938,28.04172917,0,3.844592456,17.03432553,9.298925234,2.459851102,0,19.53431406,4.637364049
93.93783627,10.43480134,1.037293311,3.260240578,7.470358651,2.947205772,3.033236478,4.757082528,2.73405277,16.77152461,0,39.53164822,1.960392017
54.6577659,2.459889141,4.458229381,0,22.90390096,0.052193701,2.873263255,1.75240352,2.902752696,1.802770442,0,13.03668173,2.415785463
78.25967588,6.564394755,0,5.621880772,19.64882764,0.500406245,3.704250257,5.163643352,1.667792027,11.09799383,0,15.53777477,8.752798028
85.50715235,0.227636946,0,0.34145542,19.77595972,0.569092366,1.394276297,2.020277899,5.164399403,2.657092257,0,48.69040465,4.666557401
67.46593606,2.860996859,1.983677387,5.508328775,7.371459613,0.488671295,6.947830048,4.656224894,3.262081168,7.520540598,1.192113814,18.32891202,7.34513774
87.53975188,3.158317087,1.932786975,0,8.24047306,6.030653286,2.058060205,3.604289785,3.047718721,19.30907877,0,22.26248464,17.89588936
90.07987565,11.33024523,0.192027376,5.13933123,4.006608226,3.377602686,33.26119368,6.505484278,3.314553623,6.470832045,0,13.48840433,2.993592937
81.26585755,5.725277482,0.271024998,8.903448414,14.45765602,2.181001382,1.025600568,11.55077058,0.02791003,4.213930752,5.551007254,18.0439088,9.314321269
67.25821343,3.44737214,1.409534094,16.1226043,15.27718888,0.246573142,0.258901799,1.77558082,1.407907219,3.999390939,5.507655969,8.220723125,9.584806417
98.33663128,1.577001496,0,0.530998475,33.59588969,1.075879682,0.452628219,3.305433522,3.448291304,20.61937453,8.498086806,23.90132897,1.331782562
98.92433622,2.705325821,0.547428889,4.823063877,31.22698219,0.17954388,0.427466386,9.127147115,2.913375076,22.78613485,0,16.04829805,8.139455839
67.85768414,8.563153898,0.380863831,2.137313583,26.89526873,1.15240757,0.918784911,4.37145296,4.621095459,1.208005836,0,15.42043048,2.188985418
79.79397877,13.48799015,0.799516412,7.989327258,15.95523996,0,3.364248594,3.733178757,2.946141161,1.729724943,2.348164339,20.58447823,6.856036057
78.93474451,4.119593109,0,18.18531887,8.954465223,0.10589595,18.48461934,3.489752882,1.542952119,2.424223025,0,18.43792885,3.189995143
